Boulder,aka,aka2,Latitude,Longitude
Yew Tree Slab,,,51.3834356,-2.2977005
Rob's Roof,,,51.383072,-2.297653
Yew Tree End,,,51.383746,-2.297739
Mossy Slab,,,51.383207,-2.297091
Bad Landing Project,Boulder 2,,51.384123,-2.298128
The Fridge,,,51.384204,-2.298215
Boulder 3,,,51.384204,-2.297739
Stack and Mini Cave,,,51.384231,-2.29748
Mike's Boulder,Combine Harvester,Boulder 6,51.3844488,-2.2989503
Ben's Boulder,Boulder 5c,,51.3845,-2.298647
Ben's Boulder Back Area,"Boulder 5a, 5b",,51.384635,-2.29869
Boulder 4,,,51.384581,-2.298215
Ragnar�k,,,51.38609,-2.29882
Matterhorn,,,51.3883,-2.298604
Sin City,,,51.389217,-2.297956
Roadside Boulder,,,51.382479,-2.296832
Boulder 7,,,51.3807,-2.294238
All Elements Area,,,51.379865,-2.293504
Halloween Buttress,The Cliff,The Edge,51.380619,-2.293547
RH Cave,,,51.381751,-2.294627
LH cave,,,51.381967,-2.294627
